sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
548,Home Sizzler,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, curtains, cushions, table linen, home décor textiles",https://homesizzler.com/,CH Master File - Mainsheet Shortlist_New,"Scale of 63 cr with PAT of 7 cr, promoter not interested",,,,,,,,,,,,,,Not interested in the model,"Scale of 63 cr with PAT of 7 cr, promoter not interested"
549,Huesland,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall art, canvas paintings, photo frames, wall clocks, decorative accessories",https://huesland.com/,CH Master File - Mainsheet Shortlist_New,"5–3 cr | FY24: Rev: INR 22cr, EBITDA: 11%, PAT: ~7% | FY25: INR 20 cr (largely B2B-led) (will get back on numbers wasn’t very sure)",,,,,,,,,,,,,,Low Scale,"Current: MRR INR 2.5–3 cr
FY24: Rev: INR 22cr, EBITDA: 11%, PAT: ~7%
FY25: INR 20 cr (largely B2B-led) (will get back on numbers wasn’t very sure)
Channels: Amazon ~50% (largely B2B, billed at ~64% of retail price), Flipkart ~45% (mix of B2B and B2C), Others: Myntra, Ajio, etc."
550,Homesake,Rejected-Promoter,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Chandeliers, pendant lights, wall lights, floor lamps, table lamps, decorative lighting",https://www.homesake.in/,CH Master File - Mainsheet Shortlist_New,"(FY25) : Rev: INR 25-30 crs, EBITDA Margin: 14-16%, PAT Margin: 10-12%, Own manufacturing facility based out of Moradabad",,,,,,,,,,,,,,Not looking to sell,"(FY25) : Rev: INR 25-30 crs, EBITDA Margin: 14-16%, PAT Margin: 10-12%, Own manufacturing facility based out of Moradabad"
551,Sunshine,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, pillow covers, blankets, bath linen",https://sunshineindia.com/,CH Master File - Mainsheet Shortlist_New,"good revenue scale, PAT margin 3%",,,,,,,,,,,,,,,"Built in hobs, chimneys. good revenue scale, PAT margin 3%. Premium products. to reach out. Product fitment not there"
552,Impex,Reached-NoResponse,Home Appliances,Small Appliances,Fans,"Induction cooktops, mixer grinders, air fryers, pressure cookers, electric kettles, fans",https://impexstore.com/,CH Master File - Mainsheet Shortlist_New,"Premium products, good scale, 4% PAT margin",,,,,,,,,,,,,,,"Premium products, good scale, 4% PAT margin"
553,KiKiluxxa,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, planters, table décor, home accessories",https://kikiluxxa.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"All products are glassware based, product looks good to reach out."
554,DREAME,Screened-Out,Home Appliances,Small Appliances,Cleaning Appliances,"Robot vacuum cleaners, cordless vacuum cleaners, wet & dry vacuum cleaners, hair dryers, grooming devices",-,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Chinese subsidiary in India (established)
555,Preethi,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, wet grinders, induction cooktops, electric kettles, coffee makers, kitchen appliances",-,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Subsidiary of Phillips, can remove from BD"
556,Wakefit,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Mattresses, pillows, beds, wardrobes, bedside tables, sofas, bedding",-,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Verlinvest has invested, hence skipped"
557,House of Quirk,Rejected-Promoter,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Storage organizers, wall shelves, desk organizers, decorative accessories, utility products",https://www.houseofquirk.com/?srsltid=AfmBOorNkLsLbogfrUrM_VNZzYZdomRkFZhUauZvUXFifM9lN46MgbWp,CH Master File - Mainsheet Shortlist_New,"FY25 Revenue: INR 100–120 Cr (similar to FY24), PAT: ~13%, FY26P Revenue: INR 160 Cr",,,,,,,,,,,,,,Valuation,"FY25 Revenue: INR 100–120 Cr (similar to FY24), PAT: ~13%, FY26P Revenue: INR 160 Cr"
558,Happer,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Storage Baskets,"Storage baskets, organizers, bathroom accessories, kitchen organizers, utility products",https://www.happer.in,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Valuation,"Largest seller on Amazon, Amazon invested."
559,Narwal,Screened-Out,Home Appliances,Small Appliances,Cleaning Appliances,"Robot vacuum cleaners, robot vacuum & mop combos, smart cleaning accessories",https://narwalindia.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,US based company
560,Kuvings,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Cold press juicers, whole slow juicers, smoothie makers, blenders, juicing accessories",https://kuvingsindia.in/index,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,South Korean Brand. Kuvings India is a localized distribution. Have 8 experience store in India
561,Ilife,Screened-Out,Home Appliances,Small Appliances,Cleaning Appliances,"Robot vacuum cleaners, robot vacuum & mop combos, cordless vacuum cleaners, cleaning accessories",https://ilifecare.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,iLife Robotics company is based in China. iLife India is focused on the retail and distribution of ILIFE smart cleaning products in India
562,Cookwell Domestic Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, juicer mixer grinders, food processors, hand blenders, kitchen appliances",https://www.cookwell.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Skip - The company is in the process of issuing IPO
563,Homefab India,Rejected-CH,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, curtains, blankets, cushions, home furnishing products",https://homefabindia.com/,CH Master File - Mainsheet Shortlist_New,"Founded in 2013, based out of Panipat | Manufacturing : Own facility in Panipat | Financials: FY25 Rev : INR 12crs",,,,,,,,,,,,,,Low scale,"Founded in 2013, based out of Panipat
Products: Curtains, Bedsheets, Table & Kitchen linen, Mats & Carpets
 Curtain and Bedsheets contribute ~95% of the top line 
Manufacturing : Own facility in Panipat. Procure fabrics from multiple mills
Financials: FY25 Rev : INR 12crs
FY26 expect a 10-12% growth 
Profitable biz
Channel: Amazon contributes 65-70% of the biz. Other platforms: Flipkart, Myntra and Ajio
Negligible sales from own website , Total employee count: 30. skipped due to low scale"
564,Stitchnest,Rejected-CH,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, cushion covers, curtains, quilts, home linen",https://stitchnest.com/?srsltid=AfmBOoqS3fA1wsVcWJagI5gY5hHZahtejkxOje6WlD8GtS_cAmhqBvEi,CH Master File - Mainsheet Shortlist_New,"Financials (FY25) : Rev : INR 20crs, Gross Margin: 43%, PAT Margin: 8-10%, Own manufacturing facility: 1 Delhi, 1 Ghaziabad",,,,,,,,,,,,,,Low scale,"Financials (FY25) : Rev : INR 20crs, Gross Margin: 43%, PAT Margin: 8-10%, Own manufacturing facility: 1 Delhi, 1 Ghaziabad"
565,Bissell,Screened-Out,Home Appliances,Small Appliances,Cleaning Appliances,"Vacuum cleaners, carpet cleaners, steam mops, wet & dry cleaners, spot cleaners",https://www.bissell.in/in-en/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,American brand now selling in india.
566,Limetro Steel,Rejected-CH,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, dinnerware, storage containers",-,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Low Scale,"Products are quite basic and scale not available,  Unable to reach out - Dhiraj to update"
567,Homestrap,Rejected-Promoter,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Storage bags, wardrobe organizers, shoe organizers, garment covers, laundry bags, storage boxes",https://www.homestrap.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Not interested in the model,Already funded by Anupam Mittal in shark tank
568,My Armor,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Mattress protectors, pillow protectors, mattress toppers, bedding accessories",https://myarmor.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Upholstery seems to be the main focus across and products have been created using that like pillows, seating solutions, travel accessories, sofa's"
569,Trance Home Linen,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, blankets, pillow covers, curtains, cushion covers",https://www.trancehomelinen.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Not looking to sell,Founder replied not interested at this time
570,Livpure,Screened-Out,Home Appliances,Small Appliances,Water Purifiers,"RO water purifiers, water dispensers, air coolers, air conditioners, water filters",-,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Skip - Since the company is established
571,Glen,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Kitchen chimneys, built-in hobs, gas stoves, ovens, air fryers, mixer grinders, cooktops",https://glenindia.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Skip - Since it is an established company
572,One94Store,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, planters, vases, decorative accents, home styling accessories",,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Product fitment
573,NUUK,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Storage Baskets,"Storage organizers, baskets, bathroom organizers, kitchen organizers, utility accessories",https://nuuk.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Scale is small so we skipped
574,Urban Space,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Curtains, bedsheets, cushion covers, table linen, rugs, home furnishing textiles",https://www.urbanspacestore.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Valuation,Founder not interested
575,Instacuppa,Rejected-Promoter,Cookware & Kitchenware,Kitchen,Drinkware,"French presses, coffee makers, insulated bottles, travel mugs, tea infusers, coffee accessories",https://instacuppastore.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Not looking to sell,Products are good
576,The Better Home,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Home Organization,"Kitchen cleaning tools, storage containers, drinkware, home organization products, cookware",https://thebetterhome.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Skip - part of GlobalBees
577,RR,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",https://www.rrkabel.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Listed company
578,Shalimar,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, blankets, pillow covers, curtains",-,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Products are quite basic. Reached out & no response
579,Fresh From Loom,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, duvet covers, quilts, pillow covers, cushion covers",,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Exhaustive catalogue including carpets, bed linen, towels, curtains. Selling only on Amazon"
580,Shay,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, decorative trays, mirrors, vases, home accents",https://theshay.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Low Scale,The website and the products are good. Rejected by BPV
581,Cloth Fusion,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, curtains, cushion covers, table runners, home linen",,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Do not do typical bedsheets, mainly focussed on quilts, throws"
582,Ayka,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative trays, wall décor, planters, vases, table décor, gifting products",-,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Products are not relevant. It is not soft furnishing but personal care
583,Yellow Weaves,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, sheers, blinds, curtain accessories, window furnishings",,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Artificial grass looks like the biggest category followed by organizers, curtains"
584,The Home Style,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, blankets, cushion covers, curtains",https://home-style.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Not looking to sell,Founder not interested
585,Instant Pot,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Electric pressure cookers, multi-cookers, air fryers, rice cookers, cookware accessories",https://instanthome.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,One of Frootle brands
586,Storite,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Storage boxes, wardrobe organizers, travel organizers, kitchen organizers, storage bags",https://storite.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Products are not relevant
587,Jaipur weaves,Rejected-CH,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Handwoven rugs, carpets, dhurries, runners, floor coverings",https://jaipurweaves.co/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Low Scale,From Linkedin post - CRR 50L (3 months back)
588,Haus & Kinder,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, duvet covers, blankets, pillow covers, curtains",https://hausandkinder.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Company is loss making and has low scale, hence skipped"
589,Tekcool,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Electric kettles, induction cooktops, mixer grinders, air fryers, kitchen appliances",https://tekcool.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Website not available. Products listed on amazon are quite basic. Founder details not available
590,The White Willow,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Mattresses, pillows, mattress toppers, cushions, bedding accessories",https://thewhitewillow.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Products are more focussed towards various types of pillows & seating solutions and scale is low and outside BPV's scope
591,Flyngo,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Storage organizers, wardrobe organizers, kitchen organizers, laundry bags, utility products",,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Category mix is very unrelated. For eg Organizers related to home solution and on the other end they chargers,umbrella. Founder details not available"
592,Atiro,Rejected-Promoter,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, vases, planters, home accessories",,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Not interested in the model,"Cannot find Atiro, company found is Attro and they are not interested. Founder not inteerested"
593,Homwell Store,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Kitchen organizers, storage containers, bathroom organizers, wardrobe organizers, utility products",https://www.homwellstore.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Entire product line is based on cloth drying stands. Hence skipped
594,Decomizer,To-Contact,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall stickers, wall art, mirrors, decorative panels, home décor accessories",https://decomizer.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Does bedsheets, comforters, cushion covers with decent rating on amazon"
595,Satyam Kraft,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wooden décor, wall hangings, decorative trays, sculptures, gifting products",satyamkraft,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Very diversified includes lot of non-home products which are not relevant
